Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,light_sensitivity_value,1775855580,"{""light_sensitivity_value"":0,""time"":1775855580}",1775859672
6173302506,985021106,body_momentum,1775855580,"{""body_momentum"":0,""time"":1775855580}",1775859685
6173302506,985021106,light_sensitivity_value,1775855520,"{""light_sensitivity_value"":0,""time"":1775855520}",1775859672
6173302506,985021106,body_momentum,1775855520,"{""body_momentum"":0,""time"":1775855520}",1775859685
6173302506,985021106,light_sensitivity_value,1775855460,"{""light_sensitivity_value"":0,""time"":1775855460}",1775859672
6173302506,985021106,body_momentum,1775855460,"{""body_momentum"":0,""time"":1775855460}",1775859685
6173302506,985021106,light_sensitivity_value,1775855400,"{""light_sensitivity_value"":0,""time"":1775855400}",1775859672
6173302506,985021106,body_momentum,1775855400,"{""body_momentum"":0,""time"":1775855400}",1775859685
6173302506,985021106,light_sensitivity_value,1775855340,"{""light_sensitivity_value"":0,""time"":1775855340}",1775859672
6173302506,985021106,body_momentum,1775855340,"{""body_momentum"":0,""time"":1775855340}",1775859685
6173302506,985021106,light_sensitivity_value,1775855280,"{""light_sensitivity_value"":0,""time"":1775855280}",1775859672
6173302506,985021106,body_momentum,1775855280,"{""body_momentum"":0,""time"":1775855280}",1775859685
6173302506,985021106,light_sensitivity_value,1775855220,"{""light_sensitivity_value"":0,""time"":1775855220}",1775859672
6173302506,985021106,body_momentum,1775855220,"{""body_momentum"":0,""time"":1775855220}",1775859685
6173302506,985021106,light_sensitivity_value,1775855160,"{""light_sensitivity_value"":0,""time"":1775855160}",1775859672
6173302506,985021106,body_momentum,1775855160,"{""body_momentum"":0,""time"":1775855160}",1775859685
6173302506,985021106,light_sensitivity_value,1775855100,"{""light_sensitivity_value"":0,""time"":1775855100}",1775859672
6173302506,985021106,body_momentum,1775855100,"{""body_momentum"":0,""time"":1775855100}",1775859685
6173302506,985021106,light_sensitivity_value,1775855040,"{""light_sensitivity_value"":0,""time"":1775855040}",1775859672
6173302506,985021106,body_momentum,1775855040,"{""body_momentum"":0,""time"":1775855040}",1775859685
6173302506,985021106,light_sensitivity_value,1775854980,"{""light_sensitivity_value"":0,""time"":1775854980}",1775859672
6173302506,985021106,body_momentum,1775854980,"{""body_momentum"":0,""time"":1775854980}",1775859685
6173302506,985021106,light_sensitivity_value,1775854920,"{""light_sensitivity_value"":0,""time"":1775854920}",1775859672
6173302506,985021106,body_momentum,1775854920,"{""body_momentum"":0,""time"":1775854920}",1775859685
6173302506,985021106,light_sensitivity_value,1775854860,"{""light_sensitivity_value"":0,""time"":1775854860}",1775859672
6173302506,985021106,body_momentum,1775854860,"{""body_momentum"":0,""time"":1775854860}",1775859685
6173302506,985021106,light_sensitivity_value,1775854800,"{""light_sensitivity_value"":0,""time"":1775854800}",1775859672
6173302506,985021106,body_momentum,1775854800,"{""body_momentum"":0,""time"":1775854800}",1775859685
6173302506,985021106,light_sensitivity_value,1775854740,"{""light_sensitivity_value"":0,""time"":1775854740}",1775859672
6173302506,985021106,body_momentum,1775854740,"{""body_momentum"":0,""time"":1775854740}",1775859685
6173302506,985021106,light_sensitivity_value,1775854680,"{""light_sensitivity_value"":0,""time"":1775854680}",1775859672
6173302506,985021106,body_momentum,1775854680,"{""body_momentum"":0,""time"":1775854680}",1775859685
6173302506,985021106,light_sensitivity_value,1775854620,"{""light_sensitivity_value"":0,""time"":1775854620}",1775859671
6173302506,985021106,body_momentum,1775854620,"{""body_momentum"":0,""time"":1775854620}",1775859685
6173302506,985021106,light_sensitivity_value,1775854560,"{""light_sensitivity_value"":0,""time"":1775854560}",1775859671
6173302506,985021106,body_momentum,1775854560,"{""body_momentum"":0,""time"":1775854560}",1775859685
6173302506,985021106,light_sensitivity_value,1775854500,"{""light_sensitivity_value"":0,""time"":1775854500}",1775859671
6173302506,985021106,body_momentum,1775854500,"{""body_momentum"":0,""time"":1775854500}",1775859685
6173302506,985021106,light_sensitivity_value,1775854440,"{""light_sensitivity_value"":0,""time"":1775854440}",1775859671
6173302506,985021106,body_momentum,1775854440,"{""body_momentum"":0,""time"":1775854440}",1775859685
6173302506,985021106,light_sensitivity_value,1775854380,"{""light_sensitivity_value"":0,""time"":1775854380}",1775859671
6173302506,985021106,body_momentum,1775854380,"{""body_momentum"":0,""time"":1775854380}",1775859685
6173302506,985021106,light_sensitivity_value,1775854320,"{""light_sensitivity_value"":0,""time"":1775854320}",1775859671
6173302506,985021106,body_momentum,1775854320,"{""body_momentum"":0,""time"":1775854320}",1775859685
6173302506,985021106,light_sensitivity_value,1775854260,"{""light_sensitivity_value"":0,""time"":1775854260}",1775859671
6173302506,985021106,body_momentum,1775854260,"{""body_momentum"":0,""time"":1775854260}",1775859685
6173302506,985021106,light_sensitivity_value,1775854200,"{""light_sensitivity_value"":0,""time"":1775854200}",1775859671
6173302506,985021106,body_momentum,1775854200,"{""body_momentum"":0,""time"":1775854200}",1775859685
